profile,ear,band,active_prescription,centre_hz,edge_low_hz,edge_high_hz,input_level_db_spl,camfit_gain_db,output_level_db_spl,sigma_graph_input_dbfs,sigma_graph_output_dbfs,sigma_output_after_global_headroom_dbfs,global_headroom_gain_db,within_configured_sigma_graph_range
N1,left,2,True,297.0000,229.2793,385.3570,-3.0,0.000000,-3.000000,-103.000000,-103.000000,-123.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,-2.0,0.000000,-2.000000,-102.000000,-102.000000,-122.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,-1.0,0.000000,-1.000000,-101.000000,-101.000000,-121.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,0.0,0.000000,0.000000,-100.000000,-100.000000,-120.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,1.0,0.000000,1.000000,-99.000000,-99.000000,-119.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,2.0,0.000000,2.000000,-98.000000,-98.000000,-118.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,3.0,0.000000,3.000000,-97.000000,-97.000000,-117.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,4.0,0.000000,4.000000,-96.000000,-96.000000,-116.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,5.0,0.000000,5.000000,-95.000000,-95.000000,-115.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,6.0,0.000000,6.000000,-94.000000,-94.000000,-114.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,7.0,0.000000,7.000000,-93.000000,-93.000000,-113.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,8.0,0.000000,8.000000,-92.000000,-92.000000,-112.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,9.0,0.000000,9.000000,-91.000000,-91.000000,-111.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,10.0,0.000000,10.000000,-90.000000,-90.000000,-110.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,11.0,0.000000,11.000000,-89.000000,-89.000000,-109.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,12.0,0.000000,12.000000,-88.000000,-88.000000,-108.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,13.0,0.000000,13.000000,-87.000000,-87.000000,-107.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,14.0,0.000000,14.000000,-86.000000,-86.000000,-106.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,15.0,0.000000,15.000000,-85.000000,-85.000000,-105.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,16.0,0.000000,16.000000,-84.000000,-84.000000,-104.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,17.0,0.000000,17.000000,-83.000000,-83.000000,-103.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,18.0,0.000000,18.000000,-82.000000,-82.000000,-102.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,19.0,0.000000,19.000000,-81.000000,-81.000000,-101.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,20.0,0.000000,20.000000,-80.000000,-80.000000,-100.000000,-20.000000,True
