profile,ear,band,centre_hz,edge_low_hz,edge_high_hz,input_level_db_spl,gain_db,output_level_db_spl
N1,left,3,500.0000,385.3570,648.4597,94.0,0.000000,94.000000
N1,left,3,500.0000,385.3570,648.4597,95.0,0.000000,95.000000
N1,left,3,500.0000,385.3570,648.4597,96.0,0.000000,96.000000
N1,left,3,500.0000,385.3570,648.4597,97.0,0.000000,97.000000
N1,left,3,500.0000,385.3570,648.4597,98.0,0.000000,98.000000
N1,left,3,500.0000,385.3570,648.4597,99.0,0.000000,99.000000
N1,left,3,500.0000,385.3570,648.4597,100.0,0.000000,100.000000
N1,left,3,500.0000,385.3570,648.4597,101.0,-1.000000,100.000000
N1,left,3,500.0000,385.3570,648.4597,102.0,-2.000000,100.000000
N1,left,3,500.0000,385.3570,648.4597,103.0,-3.000000,100.000000
N1,left,3,500.0000,385.3570,648.4597,104.0,-4.000000,100.000000
N1,left,3,500.0000,385.3570,648.4597,105.0,-5.000000,100.000000
N1,left,3,500.0000,385.3570,648.4597,106.0,-6.000000,100.000000
N1,left,3,500.0000,385.3570,648.4597,107.0,-7.000000,100.000000
N1,left,3,500.0000,385.3570,648.4597,108.0,-8.000000,100.000000
N1,left,3,500.0000,385.3570,648.4597,109.0,-9.000000,100.000000
N1,left,3,500.0000,385.3570,648.4597,110.0,-10.000000,100.000000
N1,left,4,841.0000,648.4597,1090.5000,-10.0,0.000000,-10.000000
N1,left,4,841.0000,648.4597,1090.5000,-9.0,0.000000,-9.000000
N1,left,4,841.0000,648.4597,1090.5000,-8.0,0.000000,-8.000000
N1,left,4,841.0000,648.4597,1090.5000,-7.0,0.000000,-7.000000
N1,left,4,841.0000,648.4597,1090.5000,-6.0,0.000000,-6.000000
N1,left,4,841.0000,648.4597,1090.5000,-5.0,0.000000,-5.000000
N1,left,4,841.0000,648.4597,1090.5000,-4.0,0.000000,-4.000000
N1,left,4,841.0000,648.4597,1090.5000,-3.0,0.000000,-3.000000
N1,left,4,841.0000,648.4597,1090.5000,-2.0,0.000000,-2.000000
N1,left,4,841.0000,648.4597,1090.5000,-1.0,0.000000,-1.000000
N1,left,4,841.0000,648.4597,1090.5000,0.0,0.000000,0.000000
N1,left,4,841.0000,648.4597,1090.5000,1.0,0.000000,1.000000
N1,left,4,841.0000,648.4597,1090.5000,2.0,0.000000,2.000000
N1,left,4,841.0000,648.4597,1090.5000,3.0,0.000000,3.000000
N1,left,4,841.0000,648.4597,1090.5000,4.0,0.000000,4.000000
