profile,ear,band,active_prescription,point,centre_hz,input_level_db_spl,sigma_graph_input_dbfs,sigma_graph_output_dbfs,camfit_gain_db,sigma_output_after_global_headroom_dbfs,maximum_interpolation_error_db,implementation_note
N2,right,4,True,1,841.0000,10.0,-90.000000,-82.103641,7.896359,-102.103641,0.000000000,enter x/y in compressor graph
N2,right,4,True,2,841.0000,37.0,-63.000000,-55.103641,7.896359,-75.103641,0.000000000,enter x/y in compressor graph
N2,right,4,True,3,841.0000,92.0,-8.000000,-0.784452,7.215548,-20.784452,0.000000000,enter x/y in compressor graph
N2,right,4,True,4,841.0000,93.0,-7.000000,0.000000,7.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,right,4,True,5,841.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,right,5,True,1,1414.0000,10.0,-90.000000,-73.923221,16.076779,-93.923221,0.000000000,enter x/y in compressor graph
N2,right,5,True,2,1414.0000,32.0,-68.000000,-51.923221,16.076779,-71.923221,0.000000000,enter x/y in compressor graph
N2,right,5,True,3,1414.0000,93.0,-7.000000,-0.191877,6.808123,-20.191877,0.000000000,enter x/y in compressor graph
N2,right,5,True,4,1414.0000,94.0,-6.000000,0.000000,6.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,right,5,True,5,1414.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,right,6,True,1,2378.0000,10.0,-90.000000,-68.244769,21.755231,-88.244769,0.000000000,enter x/y in compressor graph
N2,right,6,True,2,2378.0000,26.0,-74.000000,-52.244769,21.755231,-72.244769,0.000000000,enter x/y in compressor graph
N2,right,6,True,3,2378.0000,89.0,-11.000000,-0.742401,10.257599,-20.742401,0.000000000,enter x/y in compressor graph
N2,right,6,True,4,2378.0000,90.0,-10.000000,0.000000,10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,right,6,True,5,2378.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,right,7,True,1,4000.0000,10.0,-90.000000,-61.826834,28.173166,-81.826834,0.000000000,enter x/y in compressor graph
N2,right,7,True,2,4000.0000,23.0,-77.000000,-48.826834,28.173166,-68.826834,0.000000000,enter x/y in compressor graph
N2,right,7,True,3,4000.0000,93.0,-7.000000,-0.489583,6.510417,-20.489583,0.000000000,enter x/y in compressor graph
N2,right,7,True,4,4000.0000,94.0,-6.000000,0.000000,6.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,right,7,True,5,4000.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,right,8,True,1,6727.0000,10.0,-90.000000,-48.403088,41.596912,-68.403088,0.000000000,enter x/y in compressor graph
N2,right,8,True,2,6727.0000,22.0,-78.000000,-36.403088,41.596912,-56.403088,0.000000000,enter x/y in compressor graph
N2,right,8,True,3,6727.0000,85.0,-15.000000,-14.850457,0.149543,-34.850457,0.000000000,enter x/y in compressor graph
N2,right,8,True,4,6727.0000,86.0,-14.000000,-14.000000,0.000000,-34.000000,0.000000000,enter x/y in compressor graph
N2,right,8,True,5,6727.0000,100.0,0.000000,0.000000,0.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,right,8,True,6,6727.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,right,9,False,1,11314.0000,10.0,-90.000000,-90.000000,0.000000,-110.000000,0.000000000,bypass compressor; global headroom still applies
N2,right,9,False,2,11314.0000,110.0,10.000000,10.000000,0.000000,-10.000000,0.000000000,bypass compressor; global headroom still applies
N3,left,1,True,1,177.0000,10.0,-90.000000,-70.371844,19.628156,-90.371844,0.000000000,enter x/y in compressor graph
N3,left,1,True,2,177.0000,38.0,-62.000000,-42.371844,19.628156,-62.371844,0.000000000,enter x/y in compressor graph
N3,left,1,True,3,177.0000,68.0,-32.000000,-31.387028,0.612972,-51.387028,0.000000000,enter x/y in compressor graph
N3,left,1,True,4,177.0000,69.0,-31.000000,-31.000000,0.000000,-51.000000,0.000000000,enter x/y in compressor graph
N3,left,1,True,5,177.0000,100.0,0.000000,0.000000,0.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,1,True,6,177.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,2,True,1,297.0000,10.0,-90.000000,-73.770504,16.229496,-93.770504,0.000000000,enter x/y in compressor graph
N3,left,2,True,2,297.0000,38.0,-62.000000,-45.770504,16.229496,-65.770504,0.000000000,enter x/y in compressor graph
N3,left,2,True,3,297.0000,75.0,-25.000000,-24.810202,0.189798,-44.810202,0.000000000,enter x/y in compressor graph
N3,left,2,True,4,297.0000,76.0,-24.000000,-24.000000,0.000000,-44.000000,0.000000000,enter x/y in compressor graph
N3,left,2,True,5,297.0000,100.0,0.000000,0.000000,0.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,2,True,6,297.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,3,True,1,500.0000,10.0,-90.000000,-75.881017,14.118983,-95.881017,0.000000000,enter x/y in compressor graph
N3,left,3,True,2,500.0000,36.0,-64.000000,-49.881017,14.118983,-69.881017,0.000000000,enter x/y in compressor graph
N3,left,3,True,3,500.0000,99.0,-1.000000,-0.686315,0.313685,-20.686315,0.000000000,enter x/y in compressor graph
N3,left,3,True,4,500.0000,100.0,0.000000,0.000000,0.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,3,True,5,500.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,4,True,1,841.0000,10.0,-90.000000,-72.191133,17.808867,-92.191133,0.000000000,enter x/y in compressor graph
N3,left,4,True,2,841.0000,37.0,-63.000000,-45.191133,17.808867,-65.191133,0.000000000,enter x/y in compressor graph
N3,left,4,True,3,841.0000,93.0,-7.000000,-0.225895,6.774105,-20.225895,0.000000000,enter x/y in compressor graph
N3,left,4,True,4,841.0000,94.0,-6.000000,0.000000,6.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,4,True,5,841.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,5,True,1,1414.0000,10.0,-90.000000,-62.831753,27.168247,-82.831753,0.000000000,enter x/y in compressor graph
N3,left,5,True,2,1414.0000,32.0,-68.000000,-40.831753,27.168247,-60.831753,0.000000000,enter x/y in compressor graph
N3,left,5,True,3,1414.0000,95.0,-5.000000,-0.335878,4.664122,-20.335878,0.000000000,enter x/y in compressor graph
N3,left,5,True,4,1414.0000,96.0,-4.000000,0.000000,4.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,5,True,5,1414.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,6,True,1,2378.0000,10.0,-90.000000,-56.788333,33.211667,-76.788333,0.000000000,enter x/y in compressor graph
N3,left,6,True,2,2378.0000,26.0,-74.000000,-40.788333,33.211667,-60.788333,0.000000000,enter x/y in compressor graph
N3,left,6,True,3,2378.0000,92.0,-8.000000,-0.380839,7.619161,-20.380839,0.000000000,enter x/y in compressor graph
N3,left,6,True,4,2378.0000,93.0,-7.000000,0.000000,7.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,6,True,5,2378.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,7,True,1,4000.0000,10.0,-90.000000,-50.266999,39.733001,-70.266999,0.000000000,enter x/y in compressor graph
N3,left,7,True,2,4000.0000,23.0,-77.000000,-37.266999,39.733001,-57.266999,0.000000000,enter x/y in compressor graph
N3,left,7,True,3,4000.0000,99.0,-1.000000,-0.386554,0.613446,-20.386554,0.000000000,enter x/y in compressor graph
N3,left,7,True,4,4000.0000,100.0,0.000000,0.000000,0.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,7,True,5,4000.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,8,True,1,6727.0000,10.0,-90.000000,-33.403088,56.596912,-53.403088,0.000000000,enter x/y in compressor graph
N3,left,8,True,2,6727.0000,22.0,-78.000000,-21.403088,56.596912,-41.403088,0.000000000,enter x/y in compressor graph
N3,left,8,True,3,6727.0000,84.0,-16.000000,-0.192562,15.807438,-20.192562,0.000000000,enter x/y in compressor graph
N3,left,8,True,4,6727.0000,85.0,-15.000000,0.000000,15.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,8,True,5,6727.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,left,9,False,1,11314.0000,10.0,-90.000000,-90.000000,0.000000,-110.000000,0.000000000,bypass compressor; global headroom still applies
